"job_id","Job Title","Company","Job Location","Job Type","Salary","Job Posted Date"
177779,"Data Scientist","East River Electric Power Cooperative, Inc.","Madison, SD","Full-time","960000.0","2023-05-04"
551617,"Geographic Information Systems Analyst - GIS Analyst","ReServe","New York, NY","Full-time","585000.0","2023-12-27"
40145,"Staff Data Scientist/Quant Researcher","Selby Jennings","Anywhere","Full-time","550000.0","2023-08-16"
1714768,"Staff Data Scientist - Business Analytics","Selby Jennings","Anywhere","Full-time","525000.0","2023-09-01"
1455311,"Data Scientist (L5) - Member Product","Netflix","California City, CA","Full-time","450000.0","2023-12-19"
1300865,"Data Scientist (L5) - Messaging","Netflix","Los Gatos, CA","Full-time","450000.0","2023-08-17"
1023855,"Applied Data Science or Machine Learning Leader","Glocomms","San Francisco, CA","Full-time","425000.0","2023-10-06"
268878,"Data Scientist SME","CACI International","Liberty, NC","Full-time","375000.0","2023-06-05"
1131472,"Data Scientist","Algo Capital Group","Anywhere","Full-time","375000.0","2023-07-31"
927792,"Director, Data Science & Customer Analytics","Big Lots","Columbus, OH","Full-time","375000.0","2023-08-17"
